,text,like,retweet,id,user,created_at
65,"東京都のコロナ感染、新たに184人
https://t.co/6LgP9Xznbh",65,32,1316986722538848258,nikkei,Fri Oct 16 06:17:57 +0000 2020
66,"岸田氏、「大宏池会」に活路か　次の総裁選が正念場
https://t.co/ksuahb8dHS",43,16,1316977888911101954,nikkei,Fri Oct 16 05:42:51 +0000 2020
67,"米最高裁判事、大統領選前の承認へ前進　政権・共和党
https://t.co/X9IPhAWEPP",33,9,1316972378300305408,nikkei,Fri Oct 16 05:20:57 +0000 2020
68,"AIアナが読むニュース　昼の4本
https://t.co/pKZaZRfn2x",12,5,1316966330743070720,nikkei,Fri Oct 16 04:56:55 +0000 2020
69,"官房長官「海洋放出、先送りできず」　福島第1処理水
https://t.co/yZcwoPiT74",135,48,1316954723040305159,nikkei,Fri Oct 16 04:10:48 +0000 2020
70,"きょう10月16日昼の日経電子版トップ（https://t.co/Ar5oFbVngC）3本です。

米大統領選、両候補が別々同時に対話集会
https://t.co/9RDubHmgAC

コンビニ人手不足が一段落　24時間… https://t.co/ExIczwBkaE",15,10,1316945738325176324,nikkei,Fri Oct 16 03:35:06 +0000 2020
71,"NHK、テレビ設置の届け出義務化を要望　有識者会議
https://t.co/mFu7geHa9j",1664,2218,1316940636591955968,nikkei,Fri Oct 16 03:14:49 +0000 2020
72,"富士フイルム、アビガン販売申請　11月にも承認可能性
https://t.co/DxmKShaNJ3",283,174,1316936858786476032,nikkei,Fri Oct 16 02:59:49 +0000 2020
73,レムデシビル、コロナ死亡率に効果薄く　WHO治験 https://t.co/i06sg48I7J,75,47,1316934382079365120,nikkei,Fri Oct 16 02:49:58 +0000 2020
74,"「卓越」研究者でも定職なし　博士離れ加速
https://t.co/NcrjUu8ycB",247,154,1316932098574475264,nikkei,Fri Oct 16 02:40:54 +0000 2020
75,"米大統領選、両候補が同時に対話集会　討論会中止で
https://t.co/HeTHr2WzSh",17,2,1316932097399980033,nikkei,Fri Oct 16 02:40:54 +0000 2020
76,"DX時代を生き抜く8つの人材像　価値を高める働き方
https://t.co/2m1xqNbPgw",69,10,1316929571250491392,nikkei,Fri Oct 16 02:30:51 +0000 2020
77,"コンビニから宇宙まで縦横「無人」　アバターロボ続々
https://t.co/eFbPc4BzAw",56,22,1316929570029830145,nikkei,Fri Oct 16 02:30:51 +0000 2020
78,"アメリカ大統領選挙　なぜ最高裁判所判事が重要？
https://t.co/K8N36Pc87v",23,11,1316929568591196160,nikkei,Fri Oct 16 02:30:51 +0000 2020
79,"縮む中国「一人っ子政策」が影　2100年に5億人割れも
https://t.co/hxpTDnKC39",84,44,1316928345788076032,nikkei,Fri Oct 16 02:25:59 +0000 2020
80,"コンビニ人手不足、コロナで一段落　24時間店復活も
https://t.co/yq8wdcW9WX",63,32,1316928344257138693,nikkei,Fri Oct 16 02:25:59 +0000 2020
81,"広告に仕掛けられるワナ。Internet Explorer（IE）とFlashのサポート終了間際を狙い急増する「駆け込み攻撃」の事例です。
https://t.co/5TaR4tEKvC",48,31,1316927347149426689,nikkei,Fri Oct 16 02:22:01 +0000 2020
82,"富裕層向け不動産会社の破産劇　ホテル工事で損失
https://t.co/HvCojJ9wCa",57,22,1316925307044188161,nikkei,Fri Oct 16 02:13:55 +0000 2020
83,"ルノー、「欧州最安EV」21年投入　実質120万円前後か
https://t.co/j81AfNb5De",95,35,1316921534607446018,nikkei,Fri Oct 16 01:58:55 +0000 2020
84,"「掃除体験がどうあるべきかを考えて開発した」。調理家電で売り上げを伸ばしてきたバルミューダが「BALMUDA The Cleaner」で掃除機に参入。クリーナーヘッド機能やデザインで独自性を打ち出し、ダイソンなどに挑みます。
https://t.co/dexNNBVCy8",67,16,1316915388324761600,nikkei,Fri Oct 16 01:34:30 +0000 2020
85,"「指定国立大」9校に　筑波大と東京医科歯科大追加
https://t.co/EgrzA25QRV",135,57,1316912666032615425,nikkei,Fri Oct 16 01:23:41 +0000 2020
86,海洋放出、月内にも決定　福島第1原発処理水で政府 https://t.co/1Oc8BvBxdZ,51,29,1316909193497030659,nikkei,Fri Oct 16 01:09:53 +0000 2020
87,"菅首相「初心忘れず実行に移す」　政権発足1カ月
https://t.co/ysTM3P49SQ",115,27,1316905404320854016,nikkei,Fri Oct 16 00:54:49 +0000 2020
88,"松山三越、希望退職に200人応募　全従業員の8割
https://t.co/wL8zHK0mYi",98,56,1316903172447895556,nikkei,Fri Oct 16 00:45:57 +0000 2020
89,"東証障害の原因・再発防止策、きょう金融庁報告　JPX
https://t.co/UKAEFQANlv",68,28,1316901420994564099,nikkei,Fri Oct 16 00:39:00 +0000 2020
90,"日経平均、続落で始まる　欧州コロナ再拡大で
https://t.co/zqsKnNFLvG",55,20,1316895868797112320,nikkei,Fri Oct 16 00:16:56 +0000 2020
91,"Twitterで投稿など障害　ハッキングの可能性は否定
https://t.co/ReudeuunlD",494,557,1316893842331688960,nikkei,Fri Oct 16 00:08:53 +0000 2020
92,"WHO「レムデシビル、死亡率に影響せず」　FT報道
https://t.co/pbkokVUC6U",230,251,1316889088255950848,nikkei,Thu Oct 15 23:49:59 +0000 2020
93,"米ネット証券ロビンフッドでハッキング被害　約2000件
https://t.co/tmpgjuGb1n",59,39,1316887317064241152,nikkei,Thu Oct 15 23:42:57 +0000 2020
94,"SNS揺らす2つの「P」　政治の逆風強まる（NY特急便）
https://t.co/ie39eLzqAV",15,8,1316887315059417088,nikkei,Thu Oct 15 23:42:57 +0000 2020
95,"日本企業が所有する貨物船の重油流出事故で、日本政府がモーリシャスに経済支援を検討。法的責任のない日本政府が賠償金を支払うわけにはいかないなか、道義的な責任を果たします。（会員向け記事です。登録無料）
https://t.co/pjaJAlwDPO",296,112,1316884790289727488,nikkei,Thu Oct 15 23:32:55 +0000 2020
96,"トランプ政権が「共産党員」のアメリカへの移民を認めない法律を厳格運用する方針。特定の国を名指ししていないものの、党員9000万人の中国共産党を狙い撃ちし一党独裁体制への圧力を強める狙いとみられます。
https://t.co/X3zn1WUl8e",231,108,1316884710316978176,nikkei,Thu Oct 15 23:32:36 +0000 2020
97,"感染再拡大が重荷　ファストリ注目（先読み株式相場）
https://t.co/SfGe3pW3GJ",23,10,1316883780448120833,nikkei,Thu Oct 15 23:28:54 +0000 2020
98,シカゴ日経平均先物が小幅反落、50円安の2万3500円 https://t.co/BWlcVac3gq,16,8,1316883608842371072,nikkei,Thu Oct 15 23:28:13 +0000 2020
99,"ファーウェイに対する半導体輸出規制が発効し1カ月がたちました。
日本企業にとってはどのような影響があるのでしょうか。
10月16日、日本経済新聞朝刊のポイントをお届けします。
#朝刊1面を読もう
https://t.co/IHN2Wgwqgp",71,32,1316882446978252803,nikkei,Thu Oct 15 23:23:36 +0000 2020
100,"iPhone12、5Gミリ波は米国のみ　最大毎秒4ギガ
https://t.co/xigdGdMwxU",132,68,1316880826655703042,nikkei,Thu Oct 15 23:17:10 +0000 2020
